,question_sent_count,question_tok_count,label,question_modality_strong,question_modality_weak,question_uncertainty,question_positive,question_negative
53,3,88,1,0,0.03409090909090909,0,0.01136363636363636,0.01136363636363636
54,1,29,0,0,0,0,0.03448275862068966,0
55,5,90,1,0,0.01111111111111111,0,0.01111111111111111,0.01111111111111111
56,5,67,1,0,0.02985074626865672,0.01492537313432836,0.01492537313432836,0
57,7,104,0,0,0,0,0,0
58,10,94,1,0,0.01063829787234043,0,0.01063829787234043,0.03191489361702128
59,5,74,1,0,0.01351351351351351,0,0.01351351351351351,0.01351351351351351
60,4,64,1,0,0.046875,0,0.015625,0.015625
61,7,141,1,0,0.007092198581560284,0,0,0.007092198581560284
62,3,31,0,0,0,0,0,0
63,4,41,1,0,0.04878048780487805,0,0.02439024390243902,0.02439024390243902
64,4,62,0,0,0,0,0,0.03225806451612903
65,2,13,0,0,0,0,0,0
66,3,98,0,0,0,0.02040816326530612,0.02040816326530612,0.01020408163265306
67,6,110,1,0.009090909090909091,0.009090909090909091,0.02727272727272727,0.009090909090909091,0
68,2,6,0,0,0,0,0.1666666666666667,0
69,6,75,1,0,0.02666666666666667,0.01333333333333333,0.01333333333333333,0.01333333333333333
70,4,65,1,0,0.01538461538461538,0.01538461538461538,0,0
71,5,59,0,0.01694915254237288,0,0,0.01694915254237288,0.03389830508474576
72,5,60,0,0,0,0,0.03333333333333333,0
73,3,76,0,0,0,0,0,0.02631578947368421
74,7,36,0,0,0,0,0.02777777777777778,0
75,5,76,1,0,0.01315789473684211,0,0.01315789473684211,0.01315789473684211
76,5,80,1,0,0.0375,0,0.025,0
77,2,13,0,0,0,0,0,0
78,3,83,0,0,0,0.01204819277108434,0.02409638554216867,0.01204819277108434
79,5,67,1,0,0.01492537313432836,0.01492537313432836,0,0.01492537313432836
80,3,55,0,0,0,0,0,0.01818181818181818
81,2,22,0,0.04545454545454545,0,0,0.04545454545454545,0
82,12,73,1,0,0.01369863013698630,0,0.01369863013698630,0
83,7,112,1,0,0.01785714285714286,0,0.008928571428571429,0.008928571428571429
84,8,72,0,0,0,0.02777777777777778,0.02777777777777778,0
85,7,111,0,0,0,0.009009009009009009,0,0.01801801801801802
86,6,105,1,0,0.01904761904761905,0.009523809523809524,0.009523809523809524,0.009523809523809524
87,7,101,1,0,0.009900990099009901,0,0,0.009900990099009901
88,1,1,0,0,0,0,0,0
89,2,38,0,0,0,0,0,0
90,4,46,0,0,0,0,0,0.02173913043478261
91,4,42,0,0,0,0,0,0
92,2,18,0,0,0,0,0,0
93,3,71,1,0,0.01408450704225352,0.04225352112676056,0.02816901408450704,0
94,10,157,0,0.006369426751592357,0,0.02547770700636943,0.01273885350318471,0.01910828025477707
95,7,132,1,0.007575757575757576,0.01515151515151515,0.007575757575757576,0,0.02272727272727273
96,6,98,1,0,0.01020408163265306,0.01020408163265306,0,0.05102040816326531
97,9,97,0,0,0,0,0.01030927835051546,0
98,5,67,0,0,0,0.01492537313432836,0,0.04477611940298507
99,7,69,0,0,0,0,0,0.01449275362318841
100,3,62,1,0,0.01612903225806452,0.04838709677419355,0,0
101,6,40,0,0,0,0,0.025,0
102,3,71,0,0,0,0.01408450704225352,0,0.02816901408450704
103,5,96,0,0,0,0,0.02083333333333333,0.03125
104,2,29,1,0,0.06896551724137931,0.03448275862068966,0,0.03448275862068966
105,6,97,0,0,0,0,0.01030927835051546,0.02061855670103093
106,4,64,0,0,0,0,0,0.015625
107,5,59,1,0,0.01694915254237288,0.01694915254237288,0,0
108,8,108,1,0,0.01851851851851852,0.01851851851851852,0,0
109,4,115,1,0,0.02608695652173913,0.02608695652173913,0.01739130434782609,0
110,1,4,0,0,0,0,0,0
111,1,3,1,0,0.3333333333333333,0,0,0
112,4,124,1,0,0.03225806451612903,0.008064516129032258,0.008064516129032258,0.01612903225806452
113,4,50,0,0.02,0,0,0.02,0.04
114,6,71,1,0,0.01408450704225352,0,0.02816901408450704,0.02816901408450704
115,4,74,1,0,0.01351351351351351,0.02702702702702703,0.01351351351351351,0.01351351351351351
116,4,55,1,0,0.01818181818181818,0.01818181818181818,0.01818181818181818,0
117,5,98,1,0,0.04081632653061224,0.02040816326530612,0.01020408163265306,0
118,4,54,0,0,0,0,0,0.01851851851851852
119,6,59,1,0,0.05084745762711864,0,0,0.01694915254237288
120,2,57,0,0,0,0,0,0
121,12,148,1,0,0.02027027027027027,0.01351351351351351,0,0.04054054054054054
122,4,109,1,0,0.02752293577981651,0,0,0.01834862385321101
123,4,63,1,0,0.01587301587301587,0.01587301587301587,0.03174603174603175,0
124,4,71,1,0,0.02816901408450704,0.02816901408450704,0,0.01408450704225352
125,1,27,0,0,0,0,0,0
126,7,142,0,0.007042253521126761,0,0.01408450704225352,0.02112676056338028,0.007042253521126761
127,9,91,1,0.01098901098901099,0.02197802197802198,0.01098901098901099,0,0
128,2,43,0,0,0,0.02325581395348837,0,0.02325581395348837
129,2,47,1,0,0.02127659574468085,0.02127659574468085,0,0.06382978723404255
130,2,65,1,0,0.03076923076923077,0.04615384615384615,0,0.06153846153846154
131,2,38,1,0,0.05263157894736842,0.02631578947368421,0.02631578947368421,0
132,4,111,1,0,0.05405405405405405,0.01801801801801802,0.009009009009009009,0.02702702702702703
133,2,7,0,0,0,0,0.1428571428571429,0
134,5,27,0,0,0,0,0,0.03703703703703704
